day,name,Job_Size_Max_Core_Count,Job_Size_Min_Core_Count,Job_Size_Per_Job_Core_Count,Number_of_Jobs_Running,Number_of_Jobs_Started,Number_of_Jobs_Submitted,Wait_Hours_Per_Job,Wall_Hours_Per_Job,Wall_Hours_Total,Wait_Hours_Total
1,Sandshrew,0,0,0,0,0,0,0,0.0168721,3.38327,0
1,Sandslash,0,0,0,0,0,0,0,0.0317478,0,0
1,Spearow,1,0,0,0,0,0,0,0.0176928,0,0
1,Squirtle,0,0,0,0,0,0,0,0.0156994,7.59632,10.5284
1,Venomoth,0,0,0,0,0,0,0.0390675,0,0,0
1,Venonat,1,0,0,0,0,0,0,0,1.9076,7.0895
1,Venusaur,0,0,0,0,0,0,0.02064,0.00430479,0.200167,6.82113
1,Vileplume,1,1,1,3,3,3,0.132729,0.0450175,0.90035,2.65459
1,Vulpix,0,0,0,0,0,0,0,0,0,0.692587
1,Wartortle,1,0,0,0,0,0,0.0237319,0.0322649,2.61575,0
1,Weedle,1,1,1,1,0,0,0,0.328318,7.80547,0.975649
1,Wigglytuff,1,1,1,2,1,0,2.06214,2.82293,34.6236,5.44025
1,Zubat,1,1,1,2,2,2,0.0000375,0.00657917,2.06161,0.0005625
2,Arbok,1,0,0,0,0,0,0.0229147,0.0212215,0,0
2,Beedrill,0,0,0,0,0,0,0.0516807,0,0,0
2,Blastoise,2,1,1,1,0,0,0,2.16311,6.25537,0.00885378
2,Bulbasaur,0,0,0,0,0,0,0,0.00560114,0,0
2,Butterfree,0,0,0,0,0,0,0.0142593,0,6.81786,0
2,Caterpie,2,0,0,0,0,0,0.034322,0.0500524,0,5.12275
2,Charizard,2,0,0,0,0,0,0.0365211,0,0,0
2,Charmander,1,0,0,0,0,0,0.0542675,0,0,0
2,Charmeleon,1,0,0,0,0,0,0.0221281,0.017777,0,2.99231
2,Clefable,1,1,1,37,37,36,0.0240007,0.0462673,10.8106,9.42232
2,Clefairy,1,1,1,1,1,1,0.00283681,0.240724,4.49043,4.79032
2,Diglett,0,0,0,0,0,0,0,0.0304214,2.52302,0
2,Dugtrio,1,0,0,0,0,0,0,0,0,5.63595
2,Ekans,1,1,1,2,1,1,0.776847,2.48552,45.5235,6.93147
2,Fearow,1,1,1,1,0,0,0,2.50118,12.8075,1.82897
2,Gloom,1,0,0,0,0,0,0.0604345,0,0.552792,0
2,Golbat,2,1,1,1,1,1,0.607283,0.0879875,0.852606,2.38934
2,Golduck,2,1,1,6,6,4,0.714838,0.695008,30.1663,29.7857
2,Ivysaur,0,0,0,0,0,0,0,0.0600952,4.27447,0.637017
2,Jigglypuff,0,0,0,0,0,0,0.019883,0,4.0199,2.05819
2,Kakuna,0,0,0,0,0,0,0,0,2.47324,0
2,Mankey,0,0,0,0,0,0,0,0.0322919,1.21129,2.73401
2,Meowth,0,0,0,0,0,0,0,0.00564324,0,2.25336
2,Metapod,0,0,0,0,0,0,0,0.00490311,0.45469,0.311194
2,Nidoking,2,0,0,0,0,0,0,0.0114443,1.71676,0.5659
2,Nidoqueen,1,0,0,0,0,0,0.0124592,0.0527571,0,2.07804
2,Nidorina,0,0,0,0,0,0,0.0469299,0.063408,3.85674,0
2,Nidorino,1,1,1,1,0,0,0.0000819629,3,4.06869,0
2,Ninetales,1,0,0,0,0,0,0.0244777,0,3.53438,0
2,Oddish,1,1,1,15,2,2,0.0327057,2.43154,283.716,0.359762
2,Paras,1,1,1,1,0,0,0.0239116,3.0121,3,4.04322
2,Parasect,0,0,0,0,0,0,0,0,2.60136,5.31213
2,Persian,2,1,1,1,1,1,0,1.05291,8.88236,0
2,Pidgeot,1,0,0,0,0,0,0,0,0,4.8087
2,Pidgeotto,1,1,1,5,3,2,1.69625,1.64403,54.2531,31.446
2,Pidgey,1,0,0,0,0,0,0,0,0.318757,0
2,Pikachu,1,0,0,0,0,0,0.0856032,0.00698182,3.95913,0
2,Primeape,2,0,0,0,0,0,0.026598,0,3.86583,0
2,Psyduck,0,0,0,0,0,0,0,0,0,0
2,Raichu,0,0,0,0,0,0,0.0128745,0,3.93246,0
2,Raticate,1,1,1,1,0,0,0.136895,0.56266,0.539513,7.48397
2,Rattata,0,0,0,0,0,0,0.0726452,0.0394443,0,0
2,Sandshrew,1,1,1,2,2,2,0.306304,0.0857992,1.37279,9.60443
2,Sandslash,2,0,0,0,0,0,0.108036,0.0487361,5.64866,0
2,Spearow,0,0,0,0,0,0,0.00885595,0,0,0
2,Squirtle,2,1,1,1,1,1,0,0.130298,0.251837,0
2,Venomoth,1,0,0,0,0,0,0,0.00690893,0,2.42649
2,Venonat,0,0,0,0,0,0,0,0.0206998,0.658282,2.88522
2,Venusaur,1,0,0,0,0,0,0.0185638,0,0.543913,6.51963
2,Vileplume,0,0,0,0,0,0,0,0,4.26498,0
2,Vulpix,2,0,0,0,0,0,0,0.013575,0,1.36024
2,Wartortle,1,0,0,0,0,0,0,0,3.30873,0.676201
2,Weedle,1,1,1,1,1,0,1.18414,2.93278,2.88035,2.46355
2,Wigglytuff,1,1,1,2,1,1,0.0177513,2.03485,27.1008,7.41994
2,Zubat,2,0,0,0,0,0,0,0.0169897,1.498,2.63309
3,Arbok,0,0,0,0,0,0,0.0205021,0,1.07003,1.1903
3,Beedrill,1,0,0,0,0,0,0,0.0716649,0,3.05492
3,Blastoise,1,0,0,0,0,0,0,0,0,3.13342
3,Bulbasaur,2,0,0,0,0,0,0,0.0290224,0,3.78002
3,Butterfree,0,0,0,0,0,0,0.00885116,0,10.8192,7.59529
3,Caterpie,0,0,0,0,0,0,0,0.030091,0,0
3,Charizard,0,0,0,0,0,0,0,0.0459916,3.57737,0
3,Charmander,0,0,0,0,0,0,0,0.00476799,0,6.26879
3,Charmeleon,1,0,0,0,0,0,0,0.00892987,0,0
3,Clefable,1,1,1,1,0,0,0.013647,3.0798,9.23067,5.39599
3,Clefairy,0,0,0,0,0,0,0,0,0,0.700588
3,Diglett,1,0,0,0,0,0,0,0.0109511,0,0
3,Dugtrio,1,0,0,0,0,0,0.0249157,0.0249583,0,0
3,Ekans,1,1,1,2,0,0,0,2.65939,34.2151,0
3,Fearow,1,1,1,1,0,0,0,1.30128,5.4932,0
3,Gloom,0,0,0,0,0,0,0,0,0,0
3,Golbat,0,0,0,0,0,0,0,0.0286776,4.46958,4.63101
3,Golduck,3,1,1,3,1,1,1.49052,1.78365,39.2403,16.1563
3,Ivysaur,0,0,0,0,0,0,0,0.0269911,0,0
3,Jigglypuff,2,0,0,0,0,0,0,0,3.89489,0
3,Kakuna,1,0,0,0,0,0,0.0203543,0,0.281535,0
3,Mankey,0,0,0,0,0,0,0.0256368,0.00883412,0,0
3,Meowth,0,0,0,0,0,0,0.00970842,0.00947541,1.49635,0
3,Metapod,0,0,0,0,0,0,0,0,0,3.83836
3,Nidoking,1,0,0,0,0,0,0.0510374,0,0,0.468732
3,Nidoqueen,0,0,0,0,0,0,0,0,1.9956,0
3,Nidorina,0,0,0,0,0,0,0,0,4.85538,1.45426
3,Nidorino,1,1,1,1,0,0,0.0094657,3,4.18924,0
3,Ninetales,0,0,0,0,0,0,0,0,0.792818,0
3,Oddish,1,1,1,11,0,0,0.00558539,2.56253,215.253,3.6252
3,Paras,1,1,1,1,0,0,0.0137409,3,3,4.80501
3,Parasect,0,0,0,0,0,0,0.065387,0,6.27543,0
3,Persian,1,1,1,1,0,0,0.03644,3,8.94938,0
3,Pidgeot,1,0,0,0,0,0,0,0.0425794,0.987429,8.68332
3,Pidgeotto,1,1,1,3,1,1,0.0317821,2.72184,57.658,0.001075
3,Pidgey,2,0,0,0,0,0,0.00829137,0,2.52423,0
3,Pikachu,2,0,0,0,0,0,0.0266207,0,0,0
3,Primeape,0,0,0,0,0,0,0.0212737,0.0209727,3.38747,1.23245
3,Psyduck,0,0,0,0,0,0,0.0223927,0,0,6.95722
3,Raichu,1,0,0,0,0,0,0,0.0202129,1.38383,2.5231
3,Raticate,0,0,0,0,0,0,0.07185,0,0,0
3,Rattata,0,0,0,0,0,0,0.00814872,0.041523,0,0
3,Sandshrew,2,1,1,1,0,0,0,2.99996,2.99996,2.80876
3,Sandslash,0,0,0,0,0,0,0.0205543,0,0.825761,5.06347
3,Spearow,1,0,0,0,0,0,0,0,0,2.5302
3,Squirtle,2,0,0,0,0,0,0,0.0483278,2.74701,2.04861
3,Venomoth,0,0,0,0,0,0,0,0,0,6.09764
3,Venonat,1,0,0,0,0,0,0.00217731,0.0273098,0.510797,0
3,Venusaur,1,0,0,0,0,0,0,0,3.83184,1.09259
3,Vileplume,1,0,0,0,0,0,0.0395195,0,2.39362,3.1578
3,Vulpix,2,0,0,0,0,0,0.00355988,0.0728131,1.29554,4.37949
3,Wartortle,0,0,0,0,0,0,0,0,0.945666,1.24766
3,Weedle,2,1,1,1,0,0,0,3,3,0.793267
3,Wigglytuff,2,1,1,2,1,1,0.0174445,2.35862,29.901,2.69493
3,Zubat,3,3,3,1,1,0,13.5073,2.43933,3.94709,19.3048
4,Arbok,3,3,3,1,1,0,6.74492,0.357833,4.25433,6.71049
4,Beedrill,2,0,0,0,0,0,0.00743577,0.0510113,0,0
4,Blastoise,0,0,0,0,0,0,0.00783499,0,0,0
4,Bulbasaur,0,0,0,0,0,0,0,0.0648702,0,5.68476
4,Butterfree,0,0,0,0,0,0,0,0.0023611,0.604849,0
4,Caterpie,0,0,0,0,0,0,0,0.0218645,0,1.32329
4,Charizard,1,0,0,0,0,0,0,0,0,0
4,Charmander,1,0,0,0,0,0,0,0.00516703,0,7.15732
4,Charmeleon,1,0,0,0,0,0,0.0309445,0.0557145,0,2.07449
4,Clefable,1,1,1,1,0,0,0.0167184,3,9.03913,0
4,Clefairy,0,0,0,0,0,0,0.0150919,0,0,0.977706
4,Diglett,2,0,0,0,0,0,0,0,2.59518,2.49804
4,Dugtrio,0,0,0,0,0,0,0.00475819,0,0,0
4,Ekans,1,1,1,2,0,0,0,2.88812,31.7693,1.48221
4,Fearow,0,0,0,0,0,0,0,0,4.01081,1.6233
4,Gloom,0,0,0,0,0,0,0,0.0650831,3.73166,0
4,Golbat,1,1,1,2,2,2,0.0184552,0.383311,8.37247,0.0001125
4,Golduck,5,1,1,2,1,1,0.000585938,1.19384,15.8344,0.0046875
4,Ivysaur,1,0,0,0,0,0,0.0397145,0.018167,7.26927,0
4,Jigglypuff,0,0,0,0,0,0,0.0185573,0.0542058,0,0
4,Kakuna,0,0,0,0,0,0,0,0,0,3.52147
4,Mankey,2,0,0,0,0,0,0.0018733,0,0,4.45547
4,Meowth,1,0,0,0,0,0,0,0,0,0
4,Metapod,1,0,0,0,0,0,0,0.0229624,5.06038,5.88466
4,Nidoking,0,0,0,0,0,0,0.0554342,0.00412344,1.37356,0.670131
4,Nidoqueen,0,0,0,0,0,0,0,0.0293262,0,0
4,Nidorina,1,0,0,0,0,0,0,0.0466084,1.0545,0
4,Nidorino,1,1,1,1,0,0,0,3.04908,9.21904,4.18991
4,Ninetales,3,3,3,1,1,0,7.20293,2.92674,3.16576,7.15732
4,Oddish,1,1,1,8,0,0,0.0029631,2.77934,172.319,0
4,Paras,2,1,1,1,0,0,0.0335947,3,3,3.7426
4,Parasect,0,0,0,0,0,0,0,0.0169381,0,0
4,Persian,1,1,1,1,0,0,0.0650362,3,3,0
4,Pidgeot,1,0,0,0,0,0,0,0.0377597,0,1.35888
4,Pidgeotto,1,1,1,3,1,1,0.00051875,2.56003,55.8843,0.124071
4,Pidgey,2,0,0,0,0,0,0.0722973,0.0163643,3.2756,0
4,Pikachu,0,0,0,0,0,0,0.0328179,0,1.77895,0
4,Primeape,0,0,0,0,0,0,0.0326928,0,2.14801,0
4,Psyduck,1,0,0,0,0,0,0,0,0,0
4,Raichu,1,0,0,0,0,0,0,0,2.69295,0
4,Raticate,0,0,0,0,0,0,0,0.0204674,0,0
4,Rattata,1,0,0,0,0,0,0.0574221,0,0,1.08068
4,Sandshrew,1,1,1,8,8,8,0.00180064,0.0304271,5.23209,7.26356
4,Sandslash,0,0,0,0,0,0,0.00996895,0,0,1.37391
4,Spearow,0,0,0,0,0,0,0,0.00659536,0,0
4,Squirtle,1,0,0,0,0,0,0,0.00276532,4.34029,0
4,Venomoth,0,0,0,0,0,0,0,0.0147553,2.41865,0
4,Venonat,0,0,0,0,0,0,0.0521723,0.040133,0,0
4,Venusaur,0,0,0,0,0,0,0,0,0,5.5057
4,Vileplume,0,0,0,0,0,0,0,0,0.408358,0.603496
4,Vulpix,2,0,0,0,0,0,0,0,4.34861,6.01638
4,Wartortle,1,0,0,0,0,0,0,0.00244585,6.35486,0
4,Weedle,1,1,1,1,0,0,0,3.04731,8.79346,3.02257
4,Wigglytuff,1,1,1,1,0,0,0,3.04529,21,0
4,Zubat,3,3,3,1,0,0,0.0145181,0.201216,3.55874,0
5,Arbok,3,3,3,1,0,0,0,3.05781,6.28362,1.14146
5,Beedrill,1,0,0,0,0,0,0.00451171,0.0326746,0,1.14146
5,Blastoise,1,1,1,1,1,1,0,0.9126,0.9126,0
5,Bulbasaur,0,0,0,0,0,0,0,0.00671268,0.416817,1.14146
5,Butterfree,0,0,0,0,0,0,0,0.0516396,0,0
5,Caterpie,0,0,0,0,0,0,0.00451171,0,0,1.14146
5,Charizard,0,0,0,0,0,0,0,0,0,0
5,Charmander,1,0,0,0,0,0,0,0.0553331,0.196483,0
5,Charmeleon,1,0,0,0,0,0,0,0.0319169,0,0.763078
5,Clefable,1,1,1,32,32,32,0.00451171,0.055742,6.41029,2.28292
5,Clefairy,1,1,1,1,1,1,0,0.158551,3.55092,1.14146
5,Diglett,2,0,0,0,0,0,0,0.00405493,3.42649,0
5,Dugtrio,1,0,0,0,0,0,0,0.016799,0,0
5,Ekans,1,1,1,5,4,4,0.00452129,0.906123,36.2449,1.14175
5,Fearow,1,0,0,0,0,0,0.00451171,0.0644602,7.1307,1.14146
5,Gloom,1,0,0,0,0,0,0,0,0,0
5,Golbat,1,1,1,1,0,0,0.00451171,3.04117,5.99996,0
5,Golduck,3,1,1,3,2,2,0.0000208337,0.620979,10.5566,1.14171
5,Ivysaur,1,0,0,0,0,0,0,0.0262807,0,1.14146
5,Jigglypuff,3,1,1,1,1,1,0.00517421,0.186037,2.23025,1.14213
5,Kakuna,0,0,0,0,0,0,0,0.0195939,1.43277,0
5,Mankey,0,0,0,0,0,0,0.00451171,0,0,1.14146
5,Meowth,1,0,0,0,0,0,0,0.0493045,2.48333,1.14146
5,Metapod,0,0,0,0,0,0,0,0.00170623,0.35348,0
5,Nidoking,1,0,0,0,0,0,0.00451171,0.0161438,9.30691,1.14146
5,Nidoqueen,2,0,0,0,0,0,0,0,0,1.14146
5,Nidorina,0,0,0,0,0,0,0.00451171,0.0158225,0,0
5,Nidorino,1,1,1,1,0,0,0.00451171,3,3.84207,1.14146
5,Ninetales,3,3,3,1,0,0,0,3,3.0888,1.14146
5,Oddish,1,1,1,9,3,3,0.0000236837,2.20779,157.633,0.00045
5,Paras,1,1,1,1,1,1,0.00453171,0.500267,8.4398,0.45397
5,Parasect,2,0,0,0,0,0,0,0.0544402,0,0
5,Persian,1,1,1,1,1,1,0.000025,0.453624,1.72927,1.14154
5,Pidgeot,1,0,0,0,0,0,0,0,5.03463,1.14146
5,Pidgeotto,1,1,1,6,4,4,0.00001681,0.723217,30.3751,1.14195
5,Pidgey,0,0,0,0,0,0,0,0,1.74843,1.14146
5,Pikachu,0,0,0,0,0,0,0,0,0,1.14146
5,Primeape,1,0,0,0,0,0,0,0,0,0
5,Psyduck,1,0,0,0,0,0,0.0045117,0.0196144,0,0
5,Raichu,0,0,0,0,0,0,0,0.0292564,0,1.14146
5,Raticate,0,0,0,0,0,0,0,0.0910019,0.588204,1.14146
5,Rattata,0,0,0,0,0,0,0.00451171,0.0427216,1.26482,0.392363
5,Sandshrew,1,1,1,2,2,2,0.000486111,0.0502208,2.50927,0.004375
5,Sandslash,0,0,0,0,0,0,0.00451171,0,0,0
5,Spearow,0,0,0,0,0,0,0,0.00114113,0.575202,0
5,Squirtle,1,0,0,0,0,0,0.00451171,0,0,1.14146
5,Venomoth,1,0,0,0,0,0,0.00451171,0.0280081,0,0
5,Venonat,0,0,0,0,0,0,0.00451171,0.0623276,0,0
5,Venusaur,1,0,0,0,0,0,0.00451171,0.004599,0,0.944715
5,Vileplume,0,0,0,0,0,0,0,0,5.79052,1.14146
5,Vulpix,2,0,0,0,0,0,0.00451171,0.0223538,0.273355,0.436803
5,Wartortle,0,0,0,0,0,0,0.00451171,0,2.23586,0
5,Weedle,1,1,1,3,3,3,0.0045345,0.167417,11.3059,0.0003875
5,Wigglytuff,1,1,1,4,3,3,0.000580264,0.987991,24.0826,0.011025
5,Zubat,0,0,0,0,0,0,0.00451171,0.00944306,4.46696,0.614404
6,Arbok,3,3,3,1,0,0,0.078102,0.13135,0.13135,1.40895
6,Beedrill,0,0,0,0,0,0,0.0385447,0,7.28925,6.76793
6,Blastoise,1,1,1,1,1,1,0,0.670265,6.55861,0
6,Bulbasaur,0,0,0,0,0,0,0,0,0,0
6,Butterfree,0,0,0,0,0,0,0,0.0143637,0,2.10044
6,Caterpie,1,0,0,0,0,0,0.00171165,0,1.73662,1.92435
6,Charizard,1,1,1,1,1,1,0,0.0655125,0.0037125,0
6,Charmander,0,0,0,0,0,0,0.00975345,0.0281808,2.07717,0
6,Charmeleon,2,0,0,0,0,0,0.0257123,0,0,5.13569
6,Clefable,1,1,1,1,1,1,0.00001875,0.993158,6.6733,0.0000375
6,Clefairy,1,1,1,1,1,1,0.0527311,0.296337,0.592675,0
6,Diglett,0,0,0,0,0,0,0,0.0675694,0,0
6,Dugtrio,2,0,0,0,0,0,0,0.00128819,2.15974,0
6,Ekans,1,1,1,4,3,3,0.00875634,1.52403,48.7688,0.0001875
6,Fearow,0,0,0,0,0,0,0.0444634,0,0,0
6,Gloom,0,0,0,0,0,0,0,0.0144724,0,0
6,Golbat,2,1,1,1,1,1,0.0004875,2.00069,15.7255,1.44692
6,Golduck,3,1,1,5,5,5,0.000113541,0.178748,5.7489,0.0040875
6,Ivysaur,0,0,0,0,0,0,0,0,0.00703347,0.748941
6,Jigglypuff,1,1,1,1,1,1,0.00683693,0.104398,11.2791,0.0015
6,Kakuna,1,0,0,0,0,0,0.0590239,0,6.0245,0
6,Mankey,2,0,0,0,0,0,0.0384648,0.0883494,0,0
6,Meowth,0,0,0,0,0,0,0.107109,0.00126101,0,4.06251
6,Metapod,1,0,0,0,0,0,0,0,0,6.37326
6,Nidoking,0,0,0,0,0,0,0,0,0,5.54535
6,Nidoqueen,0,0,0,0,0,0,0.00469045,0,0.545091,0
6,Nidorina,1,0,0,0,0,0,0,0,0.308523,0
6,Nidorino,1,1,1,1,0,0,0.0272449,1.85983,1.85983,7.66095
6,Ninetales,3,3,3,1,0,0,0,3,3.87819,0.809644
6,Oddish,1,1,1,8,2,2,0.0000125,2.44916,149.813,0.0001125
6,Paras,1,1,1,1,0,0,0,3.01716,3,0
6,Parasect,3,0,0,0,0,0,0.0180926,0,0,2.39416
6,Persian,2,1,1,3,3,3,0.0000963237,0.0261912,0.44525,0.371239
6,Pidgeot,1,0,0,0,0,0,0,0.0303227,0,0
6,Pidgeotto,1,1,1,3,2,2,0.0601162,1.40763,30.0544,4.62134
6,Pidgey,1,0,0,0,0,0,0,0,0,4.37407
6,Pikachu,0,0,0,0,0,0,0,0,3.2571,3.23786
6,Primeape,0,0,0,0,0,0,0.03189,0.00745204,9.16049,3.44923
6,Psyduck,0,0,0,0,0,0,0.0172893,0.00606708,0,0
6,Raichu,0,0,0,0,0,0,0.00618209,0,0,4.06065
6,Raticate,1,0,0,0,0,0,0,0.037669,0,5.29875
6,Rattata,0,0,0,0,0,0,0,0,0,3.66353
6,Sandshrew,1,1,1,2,2,2,0.0363151,0.0183141,0.293025,2.2655
6,Sandslash,0,0,0,0,0,0,0,0.0120958,0.0180923,5.63349
6,Spearow,0,0,0,0,0,0,0,0,0,2.18731
6,Squirtle,2,0,0,0,0,0,0,0.0200456,0,0
6,Venomoth,0,0,0,0,0,0,0.0112128,0,0,0
6,Venonat,0,0,0,0,0,0,0.0016368,0,0,4.80934
6,Venusaur,2,0,0,0,0,0,0,0,0,0
6,Vileplume,1,0,0,0,0,0,0.0324624,0,0,4.93965
6,Vulpix,0,0,0,0,0,0,0,0.00404357,0.415122,2.3515
6,Wartortle,0,0,0,0,0,0,0,0,0,0
6,Weedle,1,1,1,1,1,1,0.0000375,1.1294,3.3882,0.880844
6,Wigglytuff,2,1,1,2,1,1,0.000533334,1.87621,24.4961,0.0016
6,Zubat,3,3,3,1,1,0,12.7938,1.50043,4.22443,30.3962
7,Arbok,0,0,0,0,0,0,0.0101812,0.000225618,0,1.57108
7,Beedrill,0,0,0,0,0,0,0,0,5.06935,0
7,Blastoise,1,1,1,1,0,0,0.045946,2.15226,6.77475,2.54347
7,Bulbasaur,1,0,0,0,0,0,0.0219997,0.0688522,1.36454,2.20654
7,Butterfree,0,0,0,0,0,0,0.0334267,0.0182455,0,0.540833
7,Caterpie,0,0,0,0,0,0,0.00723103,0.0400585,0,2.54347
7,Charizard,1,1,1,1,1,1,0.0143376,0.0011125,0.0011125,0
7,Charmander,0,0,0,0,0,0,0,0,2.64186,1.96064
7,Charmeleon,0,0,0,0,0,0,0,0.0491875,0,0
7,Clefable,1,1,1,1,1,1,0.0423376,1.50624,2.989,0.717366
7,Clefairy,1,1,1,1,1,1,0,0.973397,7.8229,0
7,Diglett,0,0,0,0,0,0,0,0,2.56149,0
7,Dugtrio,0,0,0,0,0,0,0.0295551,0,0,2.54347
7,Ekans,2,1,1,6,4,4,0.0497035,1.08105,53.813,0.00035
7,Fearow,0,0,0,0,0,0,0.00593673,0,0,1.89895
7,Gloom,0,0,0,0,0,0,0,0,0.164461,1.78576
7,Golbat,3,1,1,1,1,0,1.68354,2.03273,6.0982,1.68354
7,Golduck,3,1,1,4,4,4,0.0378723,0.211685,12.4165,1.59049
7,Ivysaur,0,0,0,0,0,0,0,0,0,2.54347
7,Jigglypuff,1,0,0,0,0,0,0,0,5.98889,2.28672
7,Kakuna,1,1,1,1,1,1,0,0.165662,2.57952,1.0216
7,Mankey,1,1,1,1,1,1,0.037825,0.000925,0.002775,2.26635
7,Meowth,1,0,0,0,0,0,0.093449,0,0,0
7,Metapod,2,0,0,0,0,0,0.0708791,0,6.92142,0
7,Nidoking,1,0,0,0,0,0,0.0143585,0.0415537,0,0
7,Nidoqueen,1,0,0,0,0,0,0,0,0,0
7,Nidorina,0,0,0,0,0,0,0,0.0392232,0,0
7,Nidorino,1,0,0,0,0,0,0,0,0,0
7,Ninetales,3,1,1,1,1,1,0.0525332,0.96625,3.865,1.26106
7,Oddish,1,1,1,8,2,2,0.0318713,2.23321,126.566,2.54361
7,Paras,1,1,1,1,0,0,0,3,6.11617,0
7,Parasect,0,0,0,0,0,0,0.00234996,0.0166373,0,0
7,Persian,1,1,1,1,1,1,0.010925,0.373044,2.11069,0.032775
7,Pidgeot,1,0,0,0,0,0,0.0323529,0,0,0.945763
7,Pidgeotto,1,1,1,2,0,0,0,2.57984,23.1572,0
7,Pidgey,0,0,0,0,0,0,0,0.0143652,4.40028,2.54347
7,Pikachu,0,0,0,0,0,0,0,0,1.63564,1.76401
7,Primeape,1,0,0,0,0,0,0,0.0181913,4.78772,0.693478
7,Psyduck,3,0,0,0,0,0,0,0,0,0
7,Raichu,2,0,0,0,0,0,0.0815495,0,3.01424,2.54347
7,Raticate,0,0,0,0,0,0,0,0,0,0
7,Rattata,1,0,0,0,0,0,0,0.0283277,0,0
7,Sandshrew,0,0,0,0,0,0,0.00943806,0,0,2.54347
7,Sandslash,1,0,0,0,0,0,0,0.0168847,0.146277,2.54347
7,Spearow,0,0,0,0,0,0,0,0,1.6996,2.54347
7,Squirtle,0,0,0,0,0,0,0,0,1.43819,2.54347
7,Venomoth,0,0,0,0,0,0,0.0775472,0.027246,0,0.798922
7,Venonat,0,0,0,0,0,0,0,0,0,1.09308
7,Venusaur,0,0,0,0,0,0,0.011336,0,0,0
7,Vileplume,0,0,0,0,0,0,0.010774,0,0,0
7,Vulpix,0,0,0,0,0,0,0.00684466,0.0720208,1.15918,0
7,Wartortle,0,0,0,0,0,0,0,0,0,0
7,Weedle,1,1,1,1,0,0,0,2.99996,12.3966,2.54347
7,Wigglytuff,2,1,1,1,0,0,0,3,22.0671,0
7,Zubat,3,3,3,1,1,0,2.54347,1.55431,4.95566,5.08695
